claim_id,claim_seq,policy_id,station_id,solar_system,production_load,exposure,energy_backup_score,safety_compliance,claim_amount
BI-C-0000001,1,BI-000010,G3,Zeta,0.688,0.3,4,3,3397527
BI-C-0000002,2,BI-000010,G3,Zeta,0.688,0.3,4,3,720933
BI-C-0000003,1,BI-000015,G2,Helionis Cluster,0.414,0.57,3,5,961887
BI-C-0000004,1,BI-000028,A9,Zeta,0.355,0.334,3,1,522526
BI-C-0000005,1,BI-000056,B3,Epsilon,0.457,0.761,4,3,1152033
BI-C-0000006,1,BI-000062,B2,Epsilon,0.89,0.821,4,4,1478761
BI-C-0000007,2,BI-000062,B2,Epsilon,0.89,0.821,4,4,582705
BI-C-0000008,1,BI-000072,B3,Epsilon,0.023,0.614,2,4,2860153
BI-C-0000009,1,BI-000081,G1,Zeta,0.582,0.724,5,4,9022207
BI-C-0000010,1,BI-000085,G3,Epsilon,0.671,0.634,1,2,2623434
BI-C-0000011,2,BI-000085,G3,Epsilon,0.671,0.634,1,2,471123
BI-C-0000012,1,BI-000092,G3,Zeta,0.821,0.713,5,3,5026302
BI-C-0000013,1,BI-000103,G5,Zeta,0.626,0.628,4,4,2269630
BI-C-0000014,1,BI-000114,A5,Zeta,0.873,0.26,3,46,983329
BI-C-0000015,1,BI-000115,B8,Helionis Cluster,0.985,0.287,5,5,346584
BI-C-0000016,1,BI-000144,B7,Zeta,0.138,0.394,2,5,11592396
BI-C-0000017,2,BI-000144,B7,Zeta,0.138,0.394,2,5,2394851
BI-C-0000018,1,BI-000159,A2,Zeta,0.517,0.562,2,5,5840537
BI-C-0000019,1,BI-000178,A7,Epsilon,0.995,0.638,4,2,222962
BI-C-0000020,1,BI-000200,G2,Epsilon,0.325,0.326,1,3,5004456
BI-C-0000021,1,BI-000201,B4,Epsilon,0.848,0.31,5,4,1685924
BI-C-0000022,1,BI-000235,B2,Zeta,0.799,0.826,5,2,3335031
BI-C-0000023,1,BI-000237,B1,Epsilon,0.927,0.132,3,4,1283051
BI-C-0000024,1,BI-000258,A5,Zeta,0.506,0.928,3,4,9022087
BI-C-0000025,2,BI-000258,A5,Zeta,0.506,0.928,3,4,6373060
BI-C-0000026,3,BI-000258,A5,Zeta,0.506,0.928,3,4,74005
BI-C-0000027,1,BI-000285,B3,Helionis Cluster,0.548,0.152,1,4,5269649
BI-C-0000028,1,BI-000286,G4,Epsilon,0.258,0.553,1,2,9587146
BI-C-0000029,2,BI-000286,G4,Epsilon,0.258,0.553,1,2,2374601
BI-C-0000030,3,BI-000286,G4,Epsilon,0.258,0.553,1,2,6026747
BI-C-0000031,4,BI-000286,G4,Epsilon,0.258,0.553,1,2,911729
BI-C-0000032,1,BI-000293,B9,Zeta,0.364,0.733,2,2,1170252
BI-C-0000033,1,BI-000294,B4,Epsilon,0.096,0.228,5,2,1222267
BI-C-0000034,1,BI-000299,A6,Zeta,0.296,0.627,2,4,2940688
BI-C-0000035,2,BI-000299,A6,Zeta,0.296,0.627,2,4,2591771
BI-C-0000036,3,BI-000299,A6,Zeta,0.296,0.627,2,4,106651
BI-C-0000037,1,BI-000310,G8,Epsilon,0.241,0.901,2,5,673296
BI-C-0000038,1,BI-000338,A6,Helionis Cluster,0.039,0.497,4,2,1879541
BI-C-0000039,1,BI-000340,G2,Zeta,0.464,0.852,5,5,153166
BI-C-0000040,2,BI-000340,G2,Zeta,0.464,0.852,5,5,813271
BI-C-0000041,3,BI-000340,G2,Zeta,0.464,0.852,5,5,5205868
BI-C-0000042,4,BI-000340,G2,Zeta,0.464,0.852,5,5,8922707
BI-C-0000043,1,BI-000342,G6,Zeta,0.723,0.294,2,2,2611554
BI-C-0000044,1,BI-000359,B7,Zeta,0.324,0.751,5,5,3895261
BI-C-0000045,1,BI-000398,G8,Epsilon,0.542,0.227,2,1,2058176
BI-C-0000046,1,BI-000401,A8,Helionis Cluster,0.199,0.294,4,4,2739751
BI-C-0000047,2,BI-000401,A8,Helionis Cluster,0.199,0.294,4,4,227006
BI-C-0000048,3,BI-000401,A8,Helionis Cluster,0.199,0.294,4,4,3769092
BI-C-0000049,4,BI-000401,A8,Helionis Cluster,0.199,0.294,4,4,4950832
BI-C-0000050,1,BI-000442,A4,Epsilon,0.058,0.359,3,3,24271235
BI-C-0000051,1,BI-000448,G7,Epsilon,0.294,0.533,2,2,5909119
BI-C-0000052,1,BI-000459,G6,Helionis Cluster,0.234,0.544,4,4,250776
BI-C-0000053,1,BI-000462,B8,Zeta,0.294,0.476,2,5,9189532
BI-C-0000054,1,BI-000482,G1,Zeta,0.311,0.878,2,4,3841248
BI-C-0000055,1,BI-000491,A7,Epsilon,0.495,0,2,5,2985519
BI-C-0000056,1,BI-000492,A9,Epsilon,0.242,0.685,3,5,3741841
BI-C-0000057,1,BI-000493,A7,Zeta,0.307,0.599,2,1,1502770
BI-C-0000058,1,BI-000541,G9,Helionis Cluster,0.806,0.493,1,4,484871
BI-C-0000059,1,BI-000549,A5,Zeta,0.059,0.136,5,3,2035947
BI-C-0000060,1,BI-000551,G5,Zeta,0.911,0.301,5,3,596895
BI-C-0000061,2,BI-000551,G5,Zeta,0.911,0.301,5,3,2603084
BI-C-0000062,1,BI-000563,A3,Zeta,0.805,0.083,4,4,2868738
BI-C-0000063,1,BI-000575,G7,Epsilon,0.525,0.324,5,1,2462895
BI-C-0000064,1,BI-000598,G4,Epsilon,0.625,0.708,3,2,103171553
BI-C-0000065,1,BI-000608,B9,Helionis Cluster,0.07,0.241,1,5,14056624
BI-C-0000066,1,BI-000612,G8,Zeta,0.479,0.573,3,3,1683348
BI-C-0000067,1,BI-000655,G5,Zeta,0.989,0.549,3,5,17635350
BI-C-0000068,1,BI-000670,B4,Helionis Cluster,0.899,0.292,5,2,6381831
BI-C-0000069,1,BI-000672,A3,Epsilon,0.028,0.533,5,5,1683031
BI-C-0000070,1,BI-000687,A6,Zeta,0.648,0.773,5,2,290553
BI-C-0000071,1,BI-000689,G7,Zeta,0.154,0.58,1,1,377139
BI-C-0000072,2,BI-000689,G7,Zeta,0.154,0.58,1,1,1792895
BI-C-0000073,1,BI-000722,G2,Zeta,0.582,0.251,3,4,5313931
BI-C-0000074,1,BI-000771,G4,Epsilon,0.447,0.516,2,5,432903
BI-C-0000075,1,BI-000773,A1,Zeta,0.362,0.63,3,5,2139948
BI-C-0000076,1,BI-000780,A5,Zeta,0.819,0.632,1,4,1574099
BI-C-0000077,1,BI-000786,G2,Zeta,0.605,0.592,5,4,1079053
BI-C-0000078,1,BI-000790,G2,Epsilon,0.889,0.629,1,5,1222792
BI-C-0000079,1,BI-000796,B2,Helionis Cluster,0.318,0.805,1,1,578184
BI-C-0000080,1,BI-000800,G1,Helionis Cluster,0.421,0.27,4,1,1579813
BI-C-0000081,1,BI-000801,A3,Epsilon,0.493,0.552,3,1,180569
BI-C-0000082,1,BI-000807,A3,Epsilon,0.302,0.915,5,1,807541
BI-C-0000083,1,BI-000814,B6,Epsilon,0.927,0.563,2,1,898979
BI-C-0000084,2,BI-000814,B6,Epsilon,0.927,0.563,2,1,220247
BI-C-0000085,1,BI-000830,A5,Zeta,0.906,0.408,2,4,3173994
BI-C-0000086,1,BI-000836,B9,Epsilon,0.616,0.353,4,1,1916788
BI-C-0000087,1,BI-000837,G7,Epsilon,0.3,0.915,2,1,8587649
BI-C-0000088,1,BI-000842,B8,Zeta,0.574,0.447,2,2,10970107
BI-C-0000089,1,BI-000855,B8,Zeta,0.76,0.558,4,1,786882
BI-C-0000090,1,BI-000857,G6,Helionis Cluster,0.481,0.514,4,5,1766686
BI-C-0000091,2,BI-000857,G6,Helionis Cluster,0.481,0.514,4,5,10021817
BI-C-0000092,1,BI-000866,A9,Helionis Cluster,0.993,0.441,3,1,598042
BI-C-0000093,1,BI-000892,B3,Epsilon,0.782,0.592,5,4,2573462
BI-C-0000094,1,BI-000894,G1,Zeta,0.751,0.764,5,1,1356495
BI-C-0000095,1,BI-000936,G8,Epsilon,0.926,0.381,3,2,7650916
BI-C-0000096,2,BI-000936,G8,Epsilon,0.926,0.381,3,2,15072013
BI-C-0000097,1,BI-000955,B2,Zeta,0.633,0.571,4,2,1517563
BI-C-0000098,2,BI-000955,B2,Zeta,0.633,0.571,4,2,7915693
BI-C-0000099,1,BI-000974,A5,Zeta,0.389,0.623,3,2,874846
BI-C-0000100,1,BI-000983,B9,Zeta,0.123,0.359,4,3,1279448
BI-C-0000101,1,BI-001006,A7,Helionis Cluster,0.661,0.333,5,3,4412589
BI-C-0000102,1,BI-001021,A6,Helionis Cluster,0.731,0.326,1,4,7922201
BI-C-0000103,2,BI-001021,A6,Helionis Cluster,0.731,0.326,1,4,143154
BI-C-0000104,3,BI-001021,A6,Helionis Cluster,0.731,0.326,1,4,382891
BI-C-0000105,1,BI-001027,B3,Zeta,0.599,0.617,4,5,2809329
BI-C-0000106,1,BI-001028,G9,Helionis Cluster,0.68,0.753,1,5,394442
BI-C-0000107,1,BI-001035,A2,Zeta,0.255,0.457,5,4,3022323
BI-C-0000108,2,BI-001035,A2,Zeta,0.255,0.457,5,4,3516132
BI-C-0000109,3,BI-001035,A2,Zeta,0.255,0.457,5,4,4691182
BI-C-0000110,1,BI-001042,A4,Epsilon,0.95,0.837,5,4,2321603
BI-C-0000111,2,BI-001042,A4,Epsilon,0.95,0.837,5,4,779756
BI-C-0000112,1,BI-001073,B4,Epsilon,0.179,0.351,2,3,1350779
BI-C-0000113,-1,BI-001076,A9,Epsilon,0.365,0.411,5,1,1705099
BI-C-0000114,1,BI-001078,A1,Helionis Cluster,0.677,0.402,3,5,612568
BI-C-0000115,1,BI-001107,A6,Helionis Cluster,0.182,0.687,2,5,3578115
BI-C-0000116,2,BI-001107,A6,Helionis Cluster,0.182,0.687,2,5,923491
BI-C-0000117,1,BI-001126,G4,Epsilon,0.055,0.699,3,3,801757
BI-C-0000118,1,BI-001138,A6,Helionis Cluster,0.572,0.493,5,3,8083910
BI-C-0000119,1,BI-001149,A2,Zeta,0.353,0.293,1,3,2913843
BI-C-0000120,1,BI-001157,G6,Epsilon,0.794,0.116,4,5,799805
BI-C-0000121,1,BI-001184,B9,Epsilon,0.302,0.711,2,4,3749615
BI-C-0000122,1,BI-001206,B1,Zeta,0.264,0.554,1,1,463318
BI-C-0000123,1,BI-001215,G9,Epsilon,0.855,0.44,2,3,2146676
BI-C-0000124,2,BI-001215,G9,Epsilon,0.855,0.44,2,3,1155420
BI-C-0000125,3,BI-001215,G9,Epsilon,0.855,0.44,2,3,20644889
BI-C-0000126,1,BI-001224,G8,Helionis Cluster,0.689,0.362,2,1,609632
BI-C-0000127,1,BI-001229,G5,Helionis Cluster,0.506,0.72,3,4,339406
BI-C-0000128,1,BI-001243,G5,Zeta,0.704,0.137,1,3,2959497
BI-C-0000129,1,BI-001253,G5,Epsilon,0.074,0.682,1,4,4765093
BI-C-0000130,2,BI-001253,G5,Epsilon,0.074,0.682,1,4,5829724
BI-C-0000131,3,BI-001253,G5,Epsilon,0.074,0.682,1,4,3927378
BI-C-0000132,4,BI-001253,G5,Epsilon,0.074,0.682,1,4,357949
BI-C-0000133,1,BI-001274,A4,Epsilon,0.445,0.78,3,3,3761754
BI-C-0000134,1,BI-001285,B8,Epsilon,0.007,0.083,2,1,7058470
BI-C-0000135,1,BI-001291,A5,Zeta,0.061,0.488,2,1,1691016
