claim_id,claim_seq,policy_id,shipment_id,cargo_type,cargo_value,weight,route_risk,distance,transit_duration,pilot_experience,vessel_age,container_type,solar_radiation,debris_density,exposure,claim_amount
CAR-C-0000001,1,CL-654613,S-366678,cobalt,8320000,160000,5,33.69,20.794,12.828,6.305,DockArc Freight Case,0.255,0.296,0.148,375109
CAR-C-0000002,2,CL-654613,S-366678,cobalt,8320000,160000,5,33.69,20.794,12.828,6.305,DockArc Freight Case,0.255,0.296,0.148,2476328
CAR-C-0000003,3,CL-654613,S-366678,cobalt,8320000,160000,0,33.69,20.794,12.828,6.305,DockArc Freight Case,0.255,0.296,0.148,247037
CAR-C-0000004,1,CL-389234,S-495879,supplies,900000,90000,3,18.8,10.635,28.573,19.665,LongHaul Vault Canister,0.255,0.155,0.18,76835
CAR-C-0000005,1,CL-315076,S-025302,gold,406800000,3000,4,52.57,31.143,17.106,14.623,DockArc Freight Case,0.222,0.408,0.115,36193774
CAR-C-0000006,1,CL-493527,S-161826,titanium,1050000,150000,3,1.58,1,15.137,9.228,HardSeal Transit Crate,0.247,0.124,0.139,61364
CAR-C-0000007,1,CL-916230,S-536793,rare earths,4250000,50000,2,25,17.905,16.684,30.006,LongHaul Vault Canister,0.223,0.345,0.239,96014
CAR-C-0000008,1,CL-779320,S-499466,platinum,163500000,3000,2,48.73,32.055,17.323,34.704,DeepSpace Haulbox,0.231,0.196,0.09,8329697
CAR-C-0000009,1,CL-632563,S-463666,supplies,900000,90000,5,1.58,1,4.486,28.558,DeepSpace Haulbox,0.355,0.3,0.529,85981
CAR-C-0000010,1,CL-712159,S-920401,gold,474600000,3500,2,1.58,1.077,17.889,24.015,LongHaul Vault Canister,0.161,0.194,0.672,13631994
CAR-C-0000011,1,CL-894476,S-072735,rare earths,4250000,50000,4,15.56,8.648,6.937,18.299,LongHaul Vault Canister,0.341,0.233,0.762,423186
CAR-C-0000012,1,CL-585596,S-815831,lithium,11070000,135000,2,22.49,14.238,10.941,16.946,LongHaul Vault Canister,0.115,0.437,0.196,79803
CAR-C-0000013,1,CL-268892,S-251041,gold,474600000,3500,4,1.58,1,13.553,12.741,QuantumCrate Module,0.178,0.162,0.239,14846361
CAR-C-0000014,2,CL-268892,S-251041,gold,474600000,3500,4,1.58,1,13.553,12.741,QuantumCrate Module,0.178,0.162,0.239,77999459
CAR-C-0000015,1,CL-104050,S-852070,rare earths,2125000,25000,4,30.43,16.419,20.7,13.32,HardSeal Transit Crate,0.328,0.253,0.525,131392
CAR-C-0000016,1,CL-195439,S-930504,cobalt,5200000,100000,5,27.23,11.569,14.61,22.142,DockArc Freight Case,0.379,0.31,0.083,348794
CAR-C-0000017,1,CL-277247,S-072791,gold,474600000,3500,3,10.2,7.714,11.976,21.952,HardSeal Transit Crate,0.022,0.055,0.122,4898460
CAR-C-0000018,1,CL-692072,S-737915,platinum,147150000,2700,1,55.66,35.649,23.297,31.626,DeepSpace Haulbox,0.273,0.157,0.198,3517007
CAR-C-0000019,2,CL-692072,S-737915,platinum,147150000,2700,19,55.66,35.649,23.297,31.626,DeepSpace Haulbox,0.273,0.157,0.198,17632442
CAR-C-0000020,1,CL-011147,S-864306,rare earths,3400000,40000,1,30.51,17.408,1,28.733,DockArc Freight Case,0.039,0.102,0.107,164774
CAR-C-0000021,2,CL-011147,S-864306,rare earths,3400000,40000,1,30.51,17.408,1,28.733,DockArc Freight Case,0.039,0.102,0.107,102708
CAR-C-0000022,1,CL-310137,S-874638,cobalt,6240000,120000,3,3.44,1.847,19.544,38.273,HardSeal Transit Crate,0,0.14,0.187,133241
CAR-C-0000023,2,CL-310137,S-874638,cobalt,6240000,120000,3,3.44,1.847,19.544,38.273,HardSeal Transit Crate,0,0.14,0.187,216202
CAR-C-0000024,3,CL-310137,S-874638,cobalt,6240000,120000,3,40.59099652,1.847,19.544,38.273,HardSeal Transit Crate,0,0.14,0.187,321193
CAR-C-0000025,1,CL-441777,S-925192,lithium,12300000,150000,2,52.01,34.368,20.157,17.319,QuantumCrate Module,0.33,0.296,0.149,305834
CAR-C-0000026,1,CL-824041,S-701243,supplies,700000,70000,3,36.49,24.45,3.255,8.263,LongHaul Vault Canister,0.356,0.445,0.605,78529
CAR-C-0000027,1,CL-354850,S-082441,lithium,9840000,120000,2,43.29,32.848,21.482,15.737,QuantumCrate Module,0.265,0.171,0.083,835341
CAR-C-0000028,2,CL-354850,S-082441,lithium,9840000,120000,2,43.29,32.848,21.482,15.737,QuantumCrate Module,0.265,0.171,0.083,1000348
