claim_id,claim_seq,policy_id,equipment_id,equipment_type,equipment_age,solar_system,maintenance_int,usage_int,exposure,claim_amount
EF-C-0000001,1,EF-136959,EQ-961161,Flux Rider,14.722,Epsilon,715.35,16.07,0.467,49193
EF-C-0000002,1,EF-117340,EQ-651029,ReglAggregators,13.624,Helionis Cluster,530.77,4.1,0.372,73688
EF-C-0000003,1,EF-608351,EQ-094886,ReglAggregators,12.779,Zeta,635.16,10.23,0.701,50797
EF-C-0000004,1,EF-786159,EQ-654494,Quantum Bore,6.752,Zeta,572.54,10.44,0.643,213915
EF-C-0000005,1,EF-364736,EQ-425368,ReglAggregators,13.761,Helionis Cluster,426.02,21.81,0.601,29713
EF-C-0000006,1,EF-614611,EQ-467151,FexStram Carrier,18.245,Epsilon,745.53,3.78,0.333,23972
EF-C-0000007,1,EF-600736,EQ-706629,Graviton Extractor,14.38,Epsilon,1573.77,11.71,0.324,77809
EF-C-0000008,1,EF-395887,EQ-046669,FexStram Carrier,16.089,Epsilon,1626.34,21.01,0.253,60962
EF-C-0000009,1,EF-655726,EQ-832333,Graviton Extractor,28.034,Zeta,1279.07,21.18,0.657,184261
EF-C-0000010,1,EF-714005,EQ-888514,Graviton Extractor,11.86,Zeta,894.69,12.26,0.586,48388
EF-C-0000011,1,EF-247726,EQ-125938,FexStram Carrier,10.987,Zeta,1000.63,15.18,0.803,154837
EF-C-0000012,1,EF-216492,EQ-035848,FexStram Carrier,3,Epsilon,1182.83,12.04,0.637,53216
EF-C-0000013,1,EF-796858,EQ-660545,ReglAggregators,17.476,Helionis Cluster,313.78,5.18,0.753,28529
EF-C-0000014,1,EF-376843,EQ-810389,Ion Pulverizer,12.637,Zeta,1037.08,21.92,0.549,92147
EF-C-0000015,1,EF-543484,EQ-086443,Quantum Bore,19.741,Epsilon,1713.81,17.07,0.675,181665
EF-C-0000016,1,EF-603791,EQ-115484,Graviton Extractor,3,Helionis Cluster,619.68,13.28,0.397,16515
EF-C-0000017,1,EF-780541,EQ-782050,Ion Pulverizer,16.486,Epsilon,1242.95,21.5,0.332,99528
EF-C-0000018,1,EF-191020,EQ-189398,Graviton Extractor,12.917,Epsilon,196.03,14.93,0.581,86646
EF-C-0000019,1,EF-212188,EQ-052839,FexStram Carrier,21.713,Epsilon,293.32,11.12,0.708,238089
EF-C-0000020,1,EF-356426,EQ-860109,ReglAggregators,6.691,Epsilon,1650.41,6.29,0.812,13538
EF-C-0000021,1,EF-764741,EQ-704373,Quantum Bore,13.262,Helionis Cluster,954.26,17.02,0.584,120371
EF-C-0000022,1,EF-917026,EQ-023827,Quantum Bore,14.528,Zeta,423.5,22.49,0.224,69655
EF-C-0000023,1,EF-811095,EQ-905596,FexStram Carrier,18.192,Epsilon,1600.92,23.35,0.669,77093
EF-C-0000024,1,EF-703963,EQ-460217,ReglAggregators,6.653,Zeta,1264.62,10.93,0.496,104991
EF-C-0000025,1,EF-733862,EQ-010074,ReglAggregators,9.667,Helionis Cluster,1477.3,10.25,0.852,42724
EF-C-0000026,1,EF-137536,EQ-940878,ReglAggregators,3,Epsilon,1495.26,10.63,0.65,35545
EF-C-0000027,1,EF-007570,EQ-253254,Graviton Extractor,5.694,Zeta,1442.4,5.84,0.697,64152
EF-C-0000028,1,EF-207790,EQ-234456,Quantum Bore,17.084,Zeta,1713.85,15.22,0.397,291295
EF-C-0000029,1,EF-903828,EQ-397611,ReglAggregators,18.249,Zeta,1768.19,19.09,0.62,111093
EF-C-0000030,1,EF-398450,EQ-528996,Flux Rider,8.887,Helionis Cluster,1557.62,23.56,0.802,81556
EF-C-0000031,1,EF-457573,EQ-412443,ReglAggregators,8.201,Epsilon,1545.4,2.51,0.627,60673
EF-C-0000032,1,EF-026117,EQ-025750,Graviton Extractor,3.195,Helionis Cluster,1690.76,9.6,0.626,44525
EF-C-0000033,1,EF-371051,EQ-128624,Quantum Bore,15.876,Epsilon,877.67,3.97,0.342,55563
EF-C-0000034,1,EF-629743,EQ-230970,Flux Rider,18.877,Epsilon,1473.22,13.83,0.728,71061
EF-C-0000035,1,EF-504508,EQ-848570,Flux Rider,6.836,Epsilon,782.19,0.86,0.802,35335
EF-C-0000036,1,EF-297176,EQ-967247,Ion Pulverizer,15.955,Helionis Cluster,727.91,21.76,0.657,90056
EF-C-0000037,1,EF-543575,EQ-973551,Ion Pulverizer,9.192,Epsilon,1622.6,23.02,0.969,149083
EF-C-0000038,1,EF-026619,EQ-097202,ReglAggregators,8.804,Zeta,1708.45,17.41,0.505,61898
EF-C-0000039,1,EF-297613,EQ-975110,Ion Pulverizer,9.436,Zeta,216.29,1.39,0.671,70733
EF-C-0000040,1,EF-335824,EQ-927366,ReglAggregators,8.401,Epsilon,1547.23,17.54,0.658,49030
EF-C-0000041,1,EF-321804,EQ-955948,Quantum Bore,6.736,Epsilon,541.36,23.4,0.69,206996
EF-C-0000042,1,EF-056725,EQ-868552,Quantum Bore,11.234,Helionis Cluster,751.58,23.44,0.809,165324
EF-C-0000043,1,EF-059233,EQ-167621,ReglAggregators,15.988,Zeta,1777.27,4.01,0.647,48635
EF-C-0000044,1,EF-641988,EQ-870904,Quantum Bore,14.71,Epsilon,869.92,23.57,0.804,110159
EF-C-0000045,1,EF-685235,EQ-260576,Graviton Extractor,9.759,Helionis Cluster,1016.88,21.96,0.606,57169
EF-C-0000046,1,EF-685022,EQ-299788,Ion Pulverizer,13.832,Helionis Cluster,1062.42,11.9,0.571,54721
EF-C-0000047,1,EF-902767,EQ-106414,Quantum Bore,6.33,Epsilon,1187.96,21.21,0.541,112495
EF-C-0000048,1,EF-547016,EQ-395617,Flux Rider,10.067,Zeta,1478.13,22.65,0.66,70984
EF-C-0000049,1,EF-282087,EQ-544251,Ion Pulverizer,5.621,Zeta,1063.17,13.58,0.576,85172
EF-C-0000050,1,EF-264539,EQ-053224,ReglAggregators,3.097,Epsilon,144.17,15.47,0.687,66735
EF-C-0000051,1,EF-534871,EQ-192041,ReglAggregators,6.52,Helionis Cluster,484.04,9.42,0.599,108666
EF-C-0000052,2,EF-534871,EQ-192041,ReglAggregators,6.52,Helionis Cluster,484.04,9.42,0.599,67504
EF-C-0000053,1,EF-534871,EQ-192041,ReglAggregators,6.52,Helionis Cluster,484.04,9.42,0.599,57951
EF-C-0000054,2,EF-534871,EQ-192041,ReglAggregators,6.52,Helionis Cluster,484.04,9.42,0.599,40820
EF-C-0000055,1,EF-902967,EQ-532704,Ion Pulverizer,11.314,Helionis Cluster,1112.25,12.11,0.627,54381
EF-C-0000056,1,EF-483111,EQ-991624,ReglAggregators,8.844,Zeta,1245.12,9.38,0.7,140671
EF-C-0000057,1,EF-028268_???3303,EQ-194394,Quantum Bore,12.403,Zeta,981.21,20.27,0.547,79205
EF-C-0000058,1,EF-329881,EQ-746576,ReglAggregators,7.833,Epsilon,1011.96,16.93,0.585,43808
EF-C-0000059,1,EF-379741,EQ-832670_???6621,Ion Pulverizer,10.903,Helionis Cluster,1574.38,17.06,0.6,46774
EF-C-0000060,2,EF-379741,EQ-832670,Ion Pulverizer,10.903,Helionis Cluster,1574.38,17.06,0.6,75730
EF-C-0000061,1,EF-379741,EQ-832670,Ion Pulverizer,10.903,Helionis Cluster,1574.38,17.06,0.6,144987
EF-C-0000062,2,EF-379741,EQ-832670,Ion Pulverizer,10.903,Helionis Cluster,1574.38,17.06,0.6,73272
EF-C-0000063,1,EF-476995,EQ-879003,ReglAggregators,3,Epsilon,942.73,6.29,0.593,24320
EF-C-0000064,1,EF-547114,EQ-757612,Quantum Bore,4.346,Helionis Cluster,1186.55,19.39,0.762,57384
EF-C-0000065,1,EF-876964,EQ-260361,Flux Rider,9.458,Zeta,682.42,4.81,0.691,62993
EF-C-0000066,1,EF-673201,EQ-630006,ReglAggregators,15.93,Zeta,330.65,14.05,0.787,75713
EF-C-0000067,1,EF-359122,EQ-157716,Quantum Bore,18.917,Zeta,1685.63,10.59,0.322,90328
EF-C-0000068,1,EF-418712,EQ-078371,Graviton Extractor,7.889,Zeta,1750.46,7.45,0.565,30628
EF-C-0000069,1,EF-601022,EQ-444954,ReglAggregators,5.425,Zeta,1426.54,15.49,0.967,99683
EF-C-0000070,1,EF-756574,EQ-702681,ReglAggregators,13.667,Helionis Cluster,261.35,-8.18,0.254,34184
EF-C-0000071,1,EF-987096,EQ-164866,FexStram Carrier,11.356,Epsilon,668.2,23.46,0.312,129179
EF-C-0000072,1,EF-628306,EQ-495747,Graviton Extractor,12.684,Epsilon,940.43,7.01,0.322,79811
EF-C-0000073,1,EF-706183,EQ-439774,Flux Rider,11.526,Helionis Cluster,1784.51,2.8,0.951,26091
EF-C-0000074,1,EF-280936,EQ-149493,FexStram Carrier,6.719,Epsilon,1273.34,18.83,0.66,18059
EF-C-0000075,1,EF-904439,EQ-129284,Ion Pulverizer,6.463,Zeta,1263.33,5.4,0.615,37432
EF-C-0000076,1,EF-998539,EQ-597351,Ion Pulverizer,13.816,Helionis Cluster,1147.86,5.04,0.509,39443
EF-C-0000077,1,EF-269174,EQ-625024,Flux Rider,5.996,Zeta,1700.24,18.87,0.503,98989
EF-C-0000078,1,EF-714753,EQ-697762,Graviton Extractor,3,Zeta,1206.47,17.52,0.508,42083
EF-C-0000079,1,EF-012074,EQ-473919,Quantum Bore,9.576,Helionis Cluster,1308.78,22.9,0.451,134090
